date,STATION,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,positive,negative,hospitalizedCurrently,death,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,Case rate per day in %,threat level
2020-04-14,USW00024233,7.83,0.0,0.0,0.0,53.0,64.0,42.0,220.0,210.0,16.1,21.0,11234,128037,387.0,542,139271,16,0,3932,291.0,4223.0,6.89,SAFE
2020-04-14,USW00024243,8.5,0.0,0.0,0.0,55.0,78.0,38.0,300.0,300.0,25.1,30.0,11234,128037,387.0,542,139271,16,0,3932,291.0,4223.0,6.89,SAFE
2020-04-14,USW00024157,8.28,0.0,0.0,0.0,47.0,57.0,39.0,280.0,270.0,21.9,28.0,11234,128037,387.0,542,139271,16,0,3932,291.0,4223.0,6.89,SAFE
2020-04-15,USW00024227,5.82,0.0,0.0,0.0,53.0,67.0,39.0,40.0,30.0,16.1,27.1,11558,131829,645.0,551,143387,9,0,3792,324.0,4116.0,7.87,SAFE
2020-04-15,USW00094240,5.14,0.0,0.0,0.0,49.0,57.0,40.0,240.0,280.0,16.1,18.1,11558,131829,645.0,551,143387,9,0,3792,324.0,4116.0,7.87,SAFE
2020-04-15,USW00094119,8.95,0.01,0.0,0.0,47.0,58.0,33.0,40.0,40.0,21.9,28.0,11558,131829,645.0,551,143387,9,0,3792,324.0,4116.0,7.87,SAFE
2020-04-15,USW00024141,14.54,0.0,0.0,0.0,57.0,62.0,40.0,40.0,30.0,33.1,38.9,11558,131829,645.0,551,143387,9,0,3792,324.0,4116.0,7.87,SAFE
2020-04-15,USW00024233,6.93,0.0,0.0,0.0,54.0,66.0,49.0,10.0,330.0,17.0,23.0,11558,131829,645.0,551,143387,9,0,3792,324.0,4116.0,7.87,SAFE
2020-04-15,USW00024243,12.75,0.0,0.0,0.0,63.0,70.0,37.0,50.0,60.0,32.0,40.9,11558,131829,645.0,551,143387,9,0,3792,324.0,4116.0,7.87,SAFE
2020-04-15,USW00024157,10.74,0.05,0.0,0.0,48.0,55.0,39.0,50.0,50.0,21.9,28.0,11558,131829,645.0,551,143387,9,0,3792,324.0,4116.0,7.87,SAFE
2020-04-16,USW00024227,2.91,0.0,0.0,0.0,51.0,70.0,31.0,10.0,350.0,14.1,19.0,11862,135797,595.0,571,147659,20,0,3968,304.0,4272.0,7.12,SAFE
2020-04-16,USW00094240,4.92,0.0,0.0,0.0,49.0,66.0,33.0,220.0,260.0,14.1,18.1,11862,135797,595.0,571,147659,20,0,3968,304.0,4272.0,7.12,SAFE
2020-04-16,USW00094119,3.8,0.0,0.0,0.0,43.0,57.0,23.0,200.0,250.0,14.1,19.0,11862,135797,595.0,571,147659,20,0,3968,304.0,4272.0,7.12,SAFE
2020-04-16,USW00024141,5.82,0.0,0.0,0.0,49.0,61.0,35.0,220.0,240.0,12.1,16.1,11862,135797,595.0,571,147659,20,0,3968,304.0,4272.0,7.12,SAFE
2020-04-16,USW00024233,6.26,0.0,0.0,0.0,57.0,70.0,44.0,310.0,300.0,15.0,19.0,11862,135797,595.0,571,147659,20,0,3968,304.0,4272.0,7.12,SAFE
2020-04-16,USW00024243,5.82,0.0,0.0,0.0,49.0,65.0,32.0,260.0,260.0,13.0,14.1,11862,135797,595.0,571,147659,20,0,3968,304.0,4272.0,7.12,SAFE
2020-04-16,USW00024157,6.93,0.0,0.0,0.0,46.0,56.0,35.0,250.0,290.0,13.0,15.0,11862,135797,595.0,571,147659,20,0,3968,304.0,4272.0,7.12,SAFE
2020-04-17,USW00024227,3.58,0.0,0.0,0.0,53.0,74.0,31.0,330.0,320.0,14.1,17.0,12203,139825,622.0,585,152028,14,0,4028,341.0,4369.0,7.8,SAFE
2020-04-17,USW00094240,3.58,0.0,0.0,0.0,47.0,61.0,33.0,270.0,270.0,16.1,19.0,12203,139825,622.0,585,152028,14,0,4028,341.0,4369.0,7.8,SAFE
2020-04-17,USW00094119,5.82,0.0,0.0,0.0,42.0,63.0,23.0,220.0,190.0,17.0,23.9,12203,139825,622.0,585,152028,14,0,4028,341.0,4369.0,7.8,SAFE
2020-04-17,USW00024141,8.28,0.0,0.0,0.0,49.0,73.0,29.0,220.0,170.0,17.0,21.9,12203,139825,622.0,585,152028,14,0,4028,341.0,4369.0,7.8,SAFE
2020-04-17,USW00024233,5.37,0.0,0.0,0.0,57.0,71.0,44.0,20.0,20.0,14.1,15.0,12203,139825,622.0,585,152028,14,0,4028,341.0,4369.0,7.8,SAFE
2020-04-17,USW00024243,5.82,0.0,0.0,0.0,49.0,77.0,27.0,20.0,160.0,15.0,17.0,12203,139825,622.0,585,152028,14,0,4028,341.0,4369.0,7.8,SAFE
2020-04-17,USW00024157,8.72,0.0,0.0,0.0,47.0,64.0,33.0,230.0,230.0,21.0,25.9,12203,139825,622.0,585,152028,14,0,4028,341.0,4369.0,7.8,SAFE
2020-04-18,USW00024227,6.71,0.01,0.0,0.0,54.0,59.0,44.0,210.0,260.0,14.1,18.1,12372,141881,518.0,598,154253,13,0,2056,169.0,2225.0,7.6,SAFE
2020-04-18,USW00094240,3.58,0.01,0.0,0.0,49.0,58.0,45.0,220.0,210.0,12.1,16.1,12372,141881,518.0,598,154253,13,0,2056,169.0,2225.0,7.6,SAFE
2020-04-18,USW00094119,5.59,0.0,0.0,0.0,53.0,63.0,34.0,360.0,40.0,15.0,17.0,12372,141881,518.0,598,154253,13,0,2056,169.0,2225.0,7.6,SAFE
2020-04-18,USW00024141,8.28,0.0,0.0,0.0,61.0,70.0,47.0,360.0,10.0,18.1,21.9,12372,141881,518.0,598,154253,13,0,2056,169.0,2225.0,7.6,SAFE
2020-04-18,USW00024233,5.82,0.05,0.0,0.0,54.0,57.0,48.0,230.0,200.0,10.1,17.0,12372,141881,518.0,598,154253,13,0,2056,169.0,2225.0,7.6,SAFE
