,Countries,Wind_Speed,Temperature,Threat_Level,Safe(%),Moderate(%),Risk(%)
137,Switzerland,3.8,57.2,Safe,94.35,2.02,3.63
138,Syria,4.3,71.6,Safe,98.61,0.56,0.83
139,Taiwan,12.5,91.4,Safe,98.98,0.42,0.6
140,Tajikistan,0.0,89.6,Safe,99.24,0.31,0.45
141,Tanzania,9.4,66.2,Safe,93.62,2.73,3.65
142,Thailand,9.4,87.8,Safe,99.21,0.32,0.47
143,Togo,4.3,78.8,Safe,99.0,0.41,0.59
144,Tonga,11.9,71.6,Safe,73.85,12.27,13.88
145,Tunisia,17.4,71.6,Safe,80.1,8.44,11.46
146,Turkey,4.3,60.8,Safe,96.67,1.25,2.07
147,Turkmenistan,16.1,104.0,Safe,97.26,1.17,1.57
148,Tuvalu,8.1,89.6,Safe,99.26,0.3,0.44
149,Uganda,17.4,71.6,Safe,80.1,8.44,11.46
150,Ukraine,6.9,73.4,Safe,98.68,0.53,0.78
151,Uruguay,6.7,44.6,Risky,31.06,23.41,45.52
152,Uzbekistan,6.9,96.8,Safe,99.35,0.26,0.39
153,Vanuatu,10.5,77.0,Safe,98.15,0.78,1.06
154,Venezuela,0.0,73.4,Safe,98.71,0.52,0.77
155,Vietnam,3.8,80.6,Safe,99.06,0.38,0.56
156,Yemen,10.1,69.4,Safe,94.15,2.55,3.3
157,Zambia,6.9,51.4,Safe,62.1,12.8,25.1
158,Zimbabwe,2.7,50.5,Safe,82.52,5.59,11.89
