,DATE,AWND,TAVG,COVID_POS_PER,THREAT_LEVEL
74,2020-05-14,8.95,57.0,9.0,MODERATE
183,2020-03-27,5.37,44.0,10.34,MODERATE
599,2020-05-04,12.08,62.0,14.0,MODERATE
64,2020-05-04,15.21,67.0,14.0,MODERATE
225,2020-05-14,5.59,53.0,9.0,MODERATE
541,2020-03-07,17.0,38.0,15.0,MODERATE
51,2020-03-08,4.7,35.0,11.66,MODERATE
50,2020-03-08,3.58,35.0,11.66,MODERATE
455,2020-05-14,5.82,49.0,9.0,MODERATE
375,2020-05-11,9.4,44.0,10.0,MODERATE
679,2020-05-07,12.75,53.0,14.0,MODERATE
459,2020-03-02,14.32,44.0,16.0,MODERATE
234,2020-03-07,11.86,28.0,15.0,MODERATE
218,2020-05-04,13.2,58.0,14.0,MODERATE
613,2020-03-02,16.11,42.0,16.0,MODERATE
295,2020-05-07,8.95,44.0,14.0,MODERATE
216,2020-03-31,9.4,38.0,10.1,MODERATE
531,2020-05-13,4.47,34.0,10.0,MODERATE
26,2020-03-04,8.5,50.0,15.57,MODERATE
177,2020-03-26,5.59,34.0,9.65,MODERATE
25,2020-03-04,7.61,46.0,15.57,MODERATE
231,2020-03-04,12.08,38.0,10.0,MODERATE
81,2020-03-05,7.16,36.0,12.0,MODERATE
44,2020-03-07,5.82,40.0,9.38,MODERATE
525,2020-05-07,11.41,45.0,14.0,MODERATE
616,2020-03-05,12.97,46.0,12.0,MODERATE
520,2020-05-02,7.38,53.0,15.0,MODERATE
144,2020-05-07,11.41,46.0,14.0,MODERATE
27,2020-03-04,18.34,44.0,15.57,MODERATE
178,2020-03-26,7.83,38.0,9.65,MODERATE
374,2020-05-10,9.17,42.0,11.0,MODERATE
453,2020-05-12,8.5,43.0,10.0,MODERATE
147,2020-03-22,6.71,43.0,9.68,MODERATE
292,2020-05-04,10.74,48.0,14.0,MODERATE
69,2020-05-09,21.47,42.0,11.0,MODERATE
83,2020-03-07,9.62,30.0,15.0,MODERATE
34,2020-03-05,6.49,39.0,14.09,MODERATE
302,2020-05-15,10.51,61.0,9.0,MODERATE
187,2020-03-27,4.92,48.0,10.34,MODERATE
536,2020-03-02,12.3,39.0,16.0,MODERATE
229,2020-03-02,10.51,40.0,16.0,MODERATE
454,2020-05-13,7.61,35.0,10.0,MODERATE
218,2020-04-01,5.14,40.0,9.57,MODERATE
8,2020-03-02,6.26,42.0,17.32,MODERATE
618,2020-03-07,19.91,40.0,15.0,MODERATE
158,2020-03-05,8.95,41.0,12.0,MODERATE
11,2020-03-02,14.32,44.0,17.32,MODERATE
149,2020-03-22,4.92,41.0,9.68,MODERATE
145,2020-05-08,9.4,40.0,12.0,MODERATE
235,2020-03-08,9.17,34.0,16.0,MODERATE
522,2020-05-04,11.41,49.0,14.0,MODERATE
444,2020-05-03,7.16,63.0,15.0,MODERATE
373,2020-05-09,15.66,35.0,11.0,MODERATE
54,2020-03-08,4.03,36.0,11.66,MODERATE
15,2020-03-03,6.04,45.0,11.21,MODERATE
370,2020-05-06,5.14,44.0,13.0,MODERATE
197,2020-03-29,9.17,46.0,13.04,MODERATE
219,2020-04-01,3.8,33.0,9.57,MODERATE
52,2020-03-08,3.58,37.0,11.66,MODERATE
445,2020-05-04,8.05,52.0,14.0,MODERATE
53,2020-03-08,5.82,40.0,11.66,MODERATE
142,2020-05-05,5.14,42.0,13.0,MODERATE
179,2020-03-26,11.63,43.0,9.65,MODERATE
220,2020-05-06,2.01,49.0,13.0,MODERATE
597,2020-05-02,12.3,60.0,15.0,MODERATE
216,2020-05-02,9.4,57.0,15.0,MODERATE
204,2020-03-30,8.95,44.0,11.1,MODERATE
598,2020-05-03,9.84,60.0,15.0,MODERATE
160,2020-03-07,10.51,35.0,15.0,MODERATE
205,2020-03-30,14.76,42.0,11.1,MODERATE
20,2020-03-03,19.69,43.0,11.21,MODERATE
678,2020-05-06,8.72,49.0,13.0,MODERATE
308,2020-03-05,8.28,37.0,12.0,MODERATE
191,2020-03-28,7.61,41.0,10.88,MODERATE
19,2020-03-03,4.92,48.0,11.21,MODERATE
184,2020-03-27,7.38,35.0,10.34,MODERATE
155,2020-03-02,10.51,39.0,16.0,MODERATE
140,2020-05-03,10.74,58.0,15.0,MODERATE
203,2020-03-30,10.51,46.0,11.1,MODERATE
214,2020-03-31,10.51,43.0,10.1,MODERATE
290,2020-05-02,7.61,51.0,15.0,MODERATE
310,2020-03-07,8.72,30.0,15.0,MODERATE
189,2020-03-28,12.75,48.0,10.88,MODERATE
676,2020-05-04,15.66,63.0,14.0,MODERATE
1,2020-03-02,10.29,45.0,16.0,MODERATE
539,2020-03-05,9.17,45.0,12.0,MODERATE
601,2020-05-06,8.5,48.0,13.0,MODERATE
148,2020-03-22,4.25,41.0,9.68,MODERATE
367,2020-05-03,9.4,61.0,15.0,MODERATE
202,2020-03-29,14.09,46.0,13.04,MODERATE
194,2020-03-28,10.29,48.0,10.88,MODERATE
12,2020-03-02,8.05,45.0,17.32,MODERATE
45,2020-03-07,6.04,44.0,9.38,MODERATE
32,2020-03-05,8.95,46.0,14.09,MODERATE
377,2020-05-13,7.16,34.0,10.0,MODERATE
30,2020-03-05,4.7,36.0,14.09,MODERATE
6,2020-03-07,14.54,41.0,15.0,MODERATE
92,2020-03-16,6.71,35.0,47.0,RISKY
632,2020-03-21,15.21,54.0,63.0,RISKY
251,2020-03-24,6.93,32.0,68.0,RISKY
23,2020-03-24,10.29,43.0,68.0,RISKY
40,2020-04-10,21.92,45.0,48.0,RISKY
582,2020-04-17,9.84,41.0,34.0,RISKY
662,2020-04-20,10.29,52.0,30.0,RISKY
87,2020-03-11,6.71,36.0,28.0,RISKY
664,2020-04-22,18.79,44.0,27.0,RISKY
132,2020-04-25,9.62,46.0,23.0,RISKY
389,2020-03-09,5.59,47.0,20.0,RISKY
628,2020-03-17,9.4,44.0,48.0,RISKY
178,2020-03-25,2.24,38.0,67.0,RISKY
106,2020-03-30,15.88,44.0,63.0,RISKY
185,2020-04-01,7.83,43.0,58.0,RISKY
429,2020-04-18,6.04,39.0,32.0,RISKY
254,2020-03-27,8.72,45.0,70.0,RISKY
61,2020-05-01,9.17,58.0,18.0,RISKY
636,2020-03-25,14.09,44.0,67.0,RISKY
114,2020-04-07,5.14,50.0,53.0,RISKY
276,2020-04-18,9.17,33.0,32.0,RISKY
663,2020-04-21,18.34,49.0,28.0,RISKY
617,2020-03-06,10.96,41.0,19.0,RISKY
163,2020-03-10,13.42,59.0,23.0,RISKY
247,2020-03-20,13.2,53.0,58.0,RISKY
45,2020-04-15,12.53,49.0,34.0,RISKY
661,2020-04-19,15.21,47.0,31.0,RISKY
326,2020-03-23,9.84,33.0,63.0,RISKY
657,2020-04-15,13.87,48.0,34.0,RISKY
550,2020-03-16,12.08,38.0,47.0,RISKY
324,2020-03-21,11.18,33.0,63.0,RISKY
318,2020-03-15,8.95,34.0,44.0,RISKY
358,2020-04-24,6.04,45.0,23.0,RISKY
188,2020-04-04,4.7,53.0,56.0,RISKY
507,2020-04-19,13.87,44.0,31.0,RISKY
277,2020-04-19,12.97,42.0,31.0,RISKY
364,2020-04-30,15.21,59.0,19.0,RISKY
500,2020-04-12,8.05,46.0,42.0,RISKY
167,2020-03-14,16.33,42.0,43.0,RISKY
206,2020-04-22,20.13,37.0,27.0,RISKY
265,2020-04-07,5.59,49.0,53.0,RISKY
46,2020-04-16,18.57,47.0,33.0,RISKY
