"STATION","DATE","AWND","PGTM","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11"
"US1NYTM0023","2020-04-06",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-04-07",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-04-08",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-04-09",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-04-10",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-04-11",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-04-12",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-04-13",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-04-14",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-04-15",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-04-16",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-04-17",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-04-18",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-04-19",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-04-20",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-04-21",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-04-22",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-04-23",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-04-24",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-04-25",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-04-27",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-04-28",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-04-29",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-04-30",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-05-01",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-05-02",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-05-03",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-05-04",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-05-05",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-05-06",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-05-07",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-05-08",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-05-09",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-05-10",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-05-11",,,,,,,,,,,,,,,,,,,,
"US1NYTM0023","2020-05-12",,,,,,,,,,,,,,,,,,,,
